status = E
*****************RX_Mode start******************************R
 11 27 21 94 2A : 08 A2 DD 74 47 57 7A 2A 5D 55 DB 42 55 56 F5 EA AA AA AA AA EE FE 22 4E 43 28 54 00 64 F4 BB 57 
 11 27 21 94 2A : 1B 95 51 00 00 7F FF B7 E1 55 6A AB 24 D2 A8 A8 CA A9 AA F5 55 55 55 55 56 FE 22 4E 43 28 54 06 
 82 73 56 45 C3 : 04 A3 05 3C BA 5A 6A 48 22 58 B4 53 17 55 C8 A5 D2 77 2A 9A 6C E3 E5 51 AC 9A 9A 4E AD 56 09 AB 
 82 73 56 45 C3 : 04 A3 05 3C BA 4A 91 A4 5E 59 A2 B5 D2 58 B6 D5 2A 55 55 29 51 1A 9A 24 48 45 55 4B 44 B1 DB 8A 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 51 64 CB 18 51 AD A5 5A 97 EB F5 55 55 55 55 56 D5 11 27 21 94 2A 00 
 82 73 56 45 C3 : 05 A3 36 0D BD F4 AF E9 49 56 D6 56 BF 9E B2 D3 75 AF 6F D5 52 99 F4 EB AB 97 EE AD 77 2E F5 B4 
 82 73 56 45 C3 : 05 A3 36 0D BF 62 B6 57 4E D5 94 B7 2D B7 7B E2 E5 8B 96 69 4A 92 93 52 90 96 22 F5 55 25 55 95 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D BA AC AA 94 5D 7E A8 95 5D DF FA AA AA AA AE AE FE 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E BA 2A B9 16 D2 89 AA 2D 2C FE B0 D9 07 AA D5 C5 B3 9F 6F 6B ED 2E 8D 2B AE B6 B3 DB 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 5B 54 6A 97 75 25 9A 55 5F 41 6A AA AA AA AA AE FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F BE F2 85 BE A9 13 2F 2A B6 E1 95 28 EC 4D 68 D5 75 3B D5 12 8D A9 66 A8 2B 6A E6 2A 
 82 73 56 45 C3 : 07 A3 50 6F BC 58 EA 54 B5 AA A8 65 43 5A DA D2 D7 2A BF 4D 54 12 DD A4 43 1A 34 B6 5C 4A CB AD 
 82 73 56 45 C3 : 07 A3 50 6F BF 55 F7 5A B7 56 E6 D3 DD 7E 9E F6 BD AD B7 5E 5D DD F5 39 A2 54 5B A6 AB 19 C6 D5 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B4 AA B4 AB F6 B3 46 CC 4E 2A 08 2E 45 A0 8D 38 E5 56 96 94 E9 F4 A5 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BB 3D 4C 37 6B 0A AA 5D 7B 75 6A A8 D3 AD 0C 94 54 AA CA A8 AA C5 22 
 82 73 56 45 C3 : 07 A3 50 6F B5 1C 60 5A 99 52 B5 59 5B 99 75 8F 4C 36 69 58 34 DA A6 DE 56 11 BD 5D 5A A7 95 55 
 82 73 56 45 C3 : 07 A3 50 6F 94 AA 9C 9D 49 F6 3B C6 11 39 50 00 71 C0 00 7E 07 0A 91 40 D4 67 2A 8F 58 C0 44 02 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BB 49 76 5A A4 AB 75 6B AA A4 68 D0 A3 D9 4C A9 59 15 25 D6 99 29 63 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B6 4A 96 95 6B 5D FA D8 B3 FB 6D 97 55 5A 76 8A F2 86 AB 5D 4A 55 44 
 82 73 56 45 C3 : 07 A3 50 6F BB 24 B6 B6 7E 54 AE 96 A7 7A A7 6A 9B 8E 45 6A 8A DD A6 EA B9 2E 54 AA DD 7D E5 76 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BD 35 2D 6A 57 F5 72 CD 25 74 D8 97 5B 6D 2E 6D 71 AA FB E5 D5 B5 9D 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BE AA 86 C9 49 22 B4 69 6A 24 15 35 1B 69 54 90 B5 62 91 53 52 50 47 
 82 73 56 45 C3 : 07 A3 50 6F B9 D3 29 AA 72 A5 66 E5 46 56 1A 52 A6 BA 2F 65 8F B5 AA 9C B2 36 AB B4 B6 6B 2A 71 
 82 73 56 45 C3 : 07 A3 50 6F BC 8E FD 53 69 BA C9 05 93 DD EF FF BB A5 CF 4D FD E7 EB 7D 86 B9 2E 52 DB 75 29 BD 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B5 52 BA 92 50 A9 AA EE 92 A9 4D 69 33 1F 64 F9 52 98 A5 76 89 D9 54 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B4 47 54 AD 0E 83 64 49 00 94 A6 D2 94 11 28 45 8A 2D 18 CD 5A 46 A9 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BA 97 2A B3 22 CA 5A AA D9 EA D6 DA E4 BA EE 47 2C CA AB 2A 35 CB B2 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BB A4 D6 8D 22 D5 4E 8B 58 AC 20 4B A5 BA DD 54 36 AA B0 98 2D C8 52 
 82 73 56 45 C3 : 07 A3 50 6F B4 A5 CB 2B 74 65 2D 55 EC 1D 6E 95 CF 69 B7 6E 95 56 C1 DD 21 AA CB 55 7A EA 4B 8B 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B8 A9 55 59 5D 22 D6 54 C8 52 AE 2E 35 E8 89 4A 3E B5 52 AD 42 55 56 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BA 24 8C D5 5D 44 EA 13 55 25 76 CC 56 95 6D 2F 61 28 CD 74 DD 44 58 
 82 73 56 45 C3 : 07 A3 50 6F BB 2D 45 52 A5 52 B4 2E 99 06 92 B5 63 C1 C9 81 75 92 23 00 12 06 6D 05 44 21 4D 52 
 82 73 56 45 C3 : 07 A3 50 6F BA D1 66 71 8A BA D2 A9 51 93 4E A5 19 6A AD 69 7E D0 69 6A 35 D5 B2 D9 A5 33 4D E4 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BD 34 42 4A 21 6B 71 D4 52 AF FA AA AA AA AA AD FC 44 9C 86 50 A8 0C 
 82 73 56 45 C3 : 04 A3 05 3C B9 8A B5 6D AE AD EA CD D5 6E B9 A4 DD 3B 72 69 6A 9A B4 A4 91 59 4D 32 87 B9 9F D5 
 82 73 56 45 C3 : 04 A3 05 3C BF 51 E8 8D 5E BB B4 A7 D4 D4 AD 9D 49 D4 98 D2 D4 6B 54 96 AB 77 56 35 6A 8B 94 5B 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5A EE 55 58 BA 35 52 AA A8 03 F5 55 55 55 55 56 D5 11 27 21 94 2A 00 
 82 73 56 45 C3 : 05 A3 36 0D B5 94 53 66 A8 AA B4 BF 6D 4B 52 26 9C A2 AC 2D DF EA 9E EF F0 F7 AE BD B7 57 D5 6B 
 82 73 56 45 C3 : 05 A3 36 0D B8 D5 57 95 EB 6C 52 35 35 6B F2 B5 52 CA C5 28 AA AE AB 2A A5 52 BE 82 AA D8 A5 E1 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B1 8A 9A 9A 38 54 51 51 6E F5 EA AA AA AA AA AE D5 11 27 21 94 2A 01 
 82 73 56 45 C3 : 06 A3 63 5E BA AF 2A E5 74 3A B9 6F 36 7A 07 49 65 4D CA BE 25 58 A8 37 A4 45 75 49 35 4A 6B A5 
 82 73 56 45 C3 : 06 A3 63 5E B7 54 D4 FB 25 55 19 D5 5A A5 4A D2 5A AC 14 8A AA DA 53 55 D5 5B 72 A3 A9 48 D4 E8 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 57 7B EE DD 7E DD 61 9A 40 41 4A 2A AA AA AA AE FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F BE AB 98 AB 12 AA 89 11 42 F2 A2 A1 65 66 D8 06 B2 8C C9 2A AC 54 91 55 05 A8 2E D6 
 82 73 56 45 C3 : 07 A3 50 6F B7 5A 51 AD FA 94 AD 5A D5 AD 31 43 42 54 AD 33 7E B7 6D 70 6B 54 2A CC 14 AA A5 2A 
